STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/27/2004,2004,4,27,54,61,47
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/28/2004,2004,4,28,39.5,53,26
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/29/2004,2004,4,29,29,33,25
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/30/2004,2004,4,30,38.5,48,29
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/1/2004,2004,5,1,48,56,40
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/2/2004,2004,5,2,53,61,45
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/3/2004,2004,5,3,58,67,49
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/4/2004,2004,5,4,62.5,71,54
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/5/2004,2004,5,5,62.5,71,54
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/6/2004,2004,5,6,60,67,53
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/7/2004,2004,5,7,57,65,49
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/8/2004,2004,5,8,59,67,51
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/9/2004,2004,5,9,56.5,64,49
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/10/2004,2004,5,10,53,70,36
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/11/2004,2004,5,11,37,42,32
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/12/2004,2004,5,12,38,45,31
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/13/2004,2004,5,13,37.5,45,30
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/14/2004,2004,5,14,48.5,59,38
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/15/2004,2004,5,15,53,63,43
